Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Crime_Code
3112619,9564165,HX174316,03/06/2014 06:00:00 AM,033XX W FILLMORE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY/VEH PARKING LOT,True,False,1134,11.0,24.0,29.0,26,2014,02/04/2016 06:33:39 AM,41.868180939,-87.709271389,17
3069013,9484752,HX137481,02/03/2014 11:00:00 AM,017XX N AUSTIN AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,2531,25.0,29.0,25.0,08B,2014,02/04/2016 06:33:39 AM,41.911739913,-87.775304616,2
2734306,8940025,HV611362,12/20/2012 08:00:00 PM,079XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,612,6.0,21.0,71.0,06,2012,02/04/2016 06:33:39 AM,41.749825361,-87.663423484,31
6200711,10766747,HZ531839,11/28/2016 11:50:00 AM,063XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,725,7.0,16.0,67.0,08B,2016,12/05/2016 03:54:58 PM,41.77874847,-87.665468981,2
2751941,8967338,HW115538,01/13/2013 04:00:00 AM,047XX W WEST END AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,1113,11.0,28.0,25.0,06,2013,02/04/2016 06:33:39 AM,41.883144607,-87.743935241,31
2440614,8475841,HV151608,02/09/2012 03:45:00 PM,006XX N WABASH AVE,0890,THEFT,FROM BUILDING,OTHER,True,False,1834,18.0,42.0,8.0,06,2012,02/04/2016 06:33:39 AM,41.89352356,-87.626767391,31
3313046,9904502,HX554891,12/25/2014 07:30:00 PM,0000X W HOTEL DR,1330,CRIMINAL TRESPASS,TO LAND,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,True,False,1654,16.0,41.0,76.0,26,2014,02/04/2016 06:33:39 AM,41.977731976,-87.903985533,7
6157374,10702193,HZ458115,10/02/2016 10:00:00 AM,011XX N LOREL AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,False,1524,15.0,37.0,25.0,06,2016,10/09/2016 03:49:15 PM,41.900912825,-87.75949722,31
2759389,8979643,HW127116,12/21/2012 12:00:00 PM,076XX S RIDGELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,414,4.0,8.0,43.0,14,2012,02/04/2016 06:33:39 AM,41.756123448,-87.58220001,6
6119558,10643647,HZ395002,08/16/2016 02:30:00 PM,019XX W POLK ST,2820,OTHER OFFENSE,TELEPHONE THREAT,HOSPITAL BUILDING/GROUNDS,False,True,1231,12.0,2.0,28.0,26,2016,08/23/2016 03:51:31 PM,41.871513235,-87.674046682,24
3099337,9540106,HX193238,03/21/2014 12:05:00 AM,095XX S WENTWORTH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,511,5.0,21.0,49.0,03,2014,02/04/2016 06:33:39 AM,41.721205526,-87.628654671,28
3170558,9663381,HX313311,06/21/2014 04:45:00 PM,009XX W EASTWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,1914,19.0,46.0,3.0,08B,2014,02/04/2016 06:33:39 AM,41.966393303,-87.653540556,2
844099,9926469,HY115268,01/14/2015 07:30:00 PM,003XX N PULASKI RD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,True,False,1114,11.0,28.0,26.0,18,2015,08/17/2015 03:03:40 PM,41.886192389,-87.725824111,17
3026150,9410429,HW553913,12/01/2013 01:01:00 AM,101XX S WESTERN AVE,0610,BURGLARY,FORCIBLE ENTRY,OTHER,False,False,2211,22.0,19.0,72.0,05,2013,02/04/2016 06:33:39 AM,41.709248764,-87.681709872,3
6128248,10627574,HZ379734,08/05/2016 05:40:00 PM,054XX W JACKSON BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,True,False,1522,15.0,29.0,25.0,15,2016,09/03/2016 03:48:19 PM,41.876574212,-87.76116907,32
3134870,9602797,HX252929,05/08/2014 12:13:00 AM,009XX N LAVERGNE AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,True,False,1531,15.0,37.0,25.0,26,2014,02/04/2016 06:33:39 AM,41.897293095,-87.750761979,17
2990024,9351414,HW486143,10/09/2013 01:45:00 PM,033XX W MAYPOLE AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,True,False,1123,11.0,28.0,27.0,18,2013,02/04/2016 06:33:39 AM,41.883580046,-87.709477772,17
2554681,8656238,HV331616,06/12/2012 07:10:00 PM,001XX S STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,112,1.0,42.0,32.0,06,2012,02/04/2016 06:33:39 AM,41.879937206,-87.627721268,31
3194657,9702588,HX353337,07/19/2014 04:00:00 AM,022XX N LINCOLN AVE,0870,THEFT,POCKET-PICKING,SIDEWALK,False,False,1812,18.0,43.0,7.0,06,2014,02/04/2016 06:33:39 AM,41.922786529,-87.645045119,31
3192879,9700370,HX350228,07/18/2014 02:03:00 PM,016XX S CHRISTIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1021,10.0,24.0,29.0,08B,2014,02/04/2016 06:33:39 AM,41.857768166,-87.709075299,2
2646578,8799703,HV473437,09/12/2012 10:00:00 PM,062XX S PRINCETON AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,711,7.0,20.0,68.0,03,2012,02/04/2016 06:33:39 AM,41.7814263,-87.632655771,28
2720521,8916589,HV589489,12/04/2012 11:35:00 PM,060XX S KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,813,8.0,13.0,65.0,08B,2012,02/04/2016 06:33:39 AM,41.783054755,-87.73266149,2
3541769,10382972,HZ119404,01/17/2016 08:00:00 PM,080XX S DREXEL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,631,6.0,8.0,44.0,26,2016,01/24/2016 03:56:36 PM,41.748972212,-87.60269154,24
